Date,Category,Amount,Day of the Week,Description
2019-09-05 00:00:00,merchandise,-65.0,Thursday,Clothes
2019-09-06 00:00:00,groceries,-40.39,Friday,No Description
2019-09-06 00:00:00,food,-26.68,Friday,No Description
2019-09-06 00:00:00,merchandise,-16.2,Friday,Sub Box
2019-09-06 00:00:00,food,-11.4,Friday,No Description
2019-09-06 00:00:00,food,-5.38,Friday,No Description
2019-09-06 00:00:00,food,-4.05,Friday,Coffee
2019-09-06 00:00:00,bills,10.05,Friday,Credit Card
2019-09-07 00:00:00,merchandise,-244.61,Saturday,Clothes
2019-09-08 00:00:00,merchandise,-20.47,Sunday,Amazon
2019-09-08 00:00:00,entertainment,-0.99,Sunday,No Description
2019-09-09 00:00:00,bills,-44.4,Monday,Phone
2019-09-09 00:00:00,groceries,-28.8,Monday,No Description
2019-09-09 00:00:00,merchandise,-27.02,Monday,Clothes
2019-09-09 00:00:00,food,-25.0,Monday,Super Card
2019-09-09 00:00:00,food,-21.0,Monday,No Description
2019-09-09 00:00:00,other,-20.4,Monday,Driving
2019-09-09 00:00:00,food,-14.35,Monday,No Description
2019-09-09 00:00:00,uber/lyft,-12.1,Monday,No Description
2019-09-09 00:00:00,uber/lyft,-11.45,Monday,No Description
2019-09-09 00:00:00,merchandise,-10.66,Monday,Amazon
2019-09-09 00:00:00,uber/lyft,-7.75,Monday,No Description
2019-09-09 00:00:00,uber/lyft,8.71,Monday,No Description
2019-09-10 00:00:00,merchandise,-78.28,Tuesday,Amazon
2019-09-10 00:00:00,merchandise,-13.6,Tuesday,Amazon
2019-09-10 00:00:00,food,-10.96,Tuesday,No Description
2019-09-11 00:00:00,uber/lyft,-7.75,Wednesday,No Description
2019-09-11 00:00:00,uber/lyft,-7.75,Wednesday,No Description
2019-09-11 00:00:00,direct deposit,203.92,Wednesday,No Description
2019-09-12 00:00:00,food,-25.0,Thursday,Starbucks
2019-09-12 00:00:00,food,-11.37,Thursday,No Description
2019-09-12 00:00:00,merchandise,11.18,Thursday,Amazon
