ds,Predicted_Close,Upper_Bound,Lower_Bound
2020-01-03,153.40114710550145,167.32075908176995,140.52336874982046
2020-01-06,152.1334367425584,165.571792207128,138.00888896046155
2020-01-07,151.6501804122189,165.9092358548291,137.40243989658788
2020-01-08,151.79046107139393,165.15539421501043,138.26010124935888
2020-01-09,151.3026255941037,165.32149692228012,137.95532016034835
2020-01-10,151.27905793014455,164.7653634914189,137.67807047806826
2020-01-13,151.30331148282397,164.70890859863235,136.81596867891616
2020-01-14,151.3191730443027,164.9237135835945,136.34239500039132
2020-01-15,151.9822722942315,166.19809587188846,139.14073927857135
2020-01-16,152.033632188822,165.4880844909935,137.2920336682826
2020-01-17,152.55780013034757,166.3033165897907,137.80089563334155
2020-01-21,154.70718693984597,168.2916891375138,141.06900819528295
2020-01-22,155.83490283845853,169.29380517924923,142.07204121810804
2020-01-23,156.3095395554896,169.2568924355308,142.14433951978447
2020-01-24,157.20826916669193,171.49579738662786,143.63180004762685
2020-01-27,159.61208289270817,173.66530590212184,145.094604326535
2020-01-28,160.24707379221647,175.78069566834327,146.54382553750978
2020-01-29,161.4225917640765,176.13756134585128,146.8478485740782
2020-01-30,161.87000749069975,174.9552973939761,147.6618517725459
2020-01-31,162.66593116867554,176.24861019460096,150.0433477118667
2020-02-03,164.32031884171113,179.21297390369972,150.8995690344373
2020-02-04,164.56856559435812,178.21555079382992,150.82853500762604
2020-02-05,165.2966823234109,179.4888979661734,151.7210696487855
2020-02-06,165.24223032193913,179.01509072428186,151.94589869612466
2020-02-07,165.48887033221655,178.56454595088016,151.05961172098083
2020-02-10,165.29163763864972,179.7514293739749,151.83773453438755
2020-02-11,164.8840734840901,178.8253403862394,150.90806921803318
2020-02-12,164.95240935332694,179.67171106246343,151.74646401258852
2020-02-13,164.2434805838691,177.86141421632027,150.14609507199623
2020-02-14,163.850054031244,177.63896513857645,149.89696800037726
2020-02-18,160.9972372511306,175.4584871363723,148.226944561317
2020-02-19,160.61836964832426,173.872124137102,146.39823574074006
2020-02-20,159.52013173021618,173.21188426111564,145.03876331880383
2020-02-21,158.7996834642989,172.87874162626346,145.67968239186956
2020-02-24,156.27563593914164,169.09424582695382,141.9344987996787
2020-02-25,155.31410057112714,169.0446184069899,141.97800753707654
2020-02-26,154.9500233466153,168.80735596129165,141.4810085598874
2020-02-27,153.93395832160013,167.36390977723423,140.10215993233035
2020-02-28,153.36055264154453,166.73681908963363,139.5333063765856
2020-03-02,151.63009372766226,165.06967497265126,136.5961043446987
2020-03-03,151.0350863012052,164.51781894190003,137.61691316902903
2020-03-04,151.0795260930953,165.54801066341372,137.82207318311328
2020-03-05,150.50802352641318,163.95516715034242,136.8504655371587
2020-03-06,150.40907313485053,163.69275590922268,137.187526140256
2020-03-09,150.21882230133028,164.13481536969488,136.68699576172546
2020-03-10,150.15565890209376,163.5346010515052,137.0230607035959
2020-03-11,150.73137097733877,165.6158192253389,136.6417216183473
2020-03-12,150.6851203926541,164.31729638952686,137.51580237897247
2020-03-13,151.1003185574099,164.93984285737815,137.33777164342396
2020-03-16,152.3413697722748,166.5884884249039,138.28319480180087
2020-03-17,152.7056946902716,167.063400307699,139.72796747664555
2020-03-18,153.67898402127756,168.25459090987843,141.00006550324684
2020-03-19,153.9980407860592,167.46784232408007,138.9240400085459
2020-03-20,154.7443706890956,168.99843106911186,141.34010525942838
2020-03-23,156.76105271033853,171.19242963598384,143.2537867083843
2020-03-24,157.30902580945278,170.36366286731075,143.60125879974225
2020-03-25,158.42822414520683,174.01684623063522,144.5410716019945
2020-03-26,158.855730271478,173.03017205823934,145.943721215691
2020-03-27,159.67359224592624,173.3802506720719,145.71430707251156
2020-03-30,161.6922129153684,175.58026315100548,147.69081928315114
2020-03-31,162.1738932997094,176.98063657526635,148.284908928013
2020-04-01,163.19574756570063,176.23780736135885,149.65037068856057
2020-04-02,163.49655338479184,178.29661183065463,149.9905163816331
2020-04-03,164.1602078785297,178.20213447370708,150.63413922662556
2020-04-06,165.571915594452,181.20326206458574,151.98046861519842
2020-04-07,165.8108625869953,179.76780897504327,152.2644147840137
2020-04-08,166.57397680473275,181.0306969751193,153.30172645403624
2020-04-09,166.60278144623786,180.1247350516353,153.16515030322094
2020-04-13,167.51713866936885,180.6441162378792,153.61453242781238
2020-04-14,167.46347199188875,181.7209532728541,153.2867121555513
2020-04-15,167.93965995324484,181.58560296064863,153.21676246393494
2020-04-16,167.69060049538052,181.01044593154825,153.0871827554699
2020-04-17,167.8064269838282,181.5119999955122,154.4667051226469
2020-04-20,167.6498194045964,180.77439978090948,153.63957221725389
2020-04-21,167.41176877273753,180.61742536174287,152.81221492867456
2020-04-22,167.730738164248,181.5230317398479,154.67831958839014
2020-04-23,167.3538219805836,180.9450400386015,153.66388984511605
2020-04-24,167.37298091121198,181.32451928759994,154.2639780219685
2020-04-27,167.12532945800575,180.70249510707714,153.21759447176728
2020-04-28,166.9247938130773,180.29879417716492,152.68516228400392
2020-04-29,167.31469422030216,180.8689162673254,153.04848403241095
2020-04-30,167.04101627686268,181.43135877582714,152.8418705952944
2020-05-01,167.19407990133212,181.28123098779585,153.69144651910074
2020-05-04,167.5081602504593,180.4488471228115,153.3930210413827
2020-05-05,167.53793101559575,181.66397347452062,153.18213621062426
2020-05-06,168.1735614340255,181.45936898083923,154.17717594708796
2020-05-07,168.15692086413236,181.9929595121418,153.28091702904007
