ds,Predicted_Close,Upper_Bound,Lower_Bound
2020-01-03,74.60850913783469,83.7858448694807,65.51389185577204
2020-01-06,74.02775981527509,82.22987378192911,64.75538620824783
2020-01-07,73.63452840281589,82.60184236017118,64.82763105028708
2020-01-08,73.20633728968727,81.22987500368279,64.3930683033626
2020-01-09,72.74245959258288,81.47530379435524,63.77013507818887
2020-01-10,72.55580509661145,81.34421627953945,63.83580398149293
2020-01-13,72.34270246981535,81.81442791005928,63.737506538666274
2020-01-14,72.11695754607021,81.53582496195494,63.14070417173097
2020-01-15,71.87528792434344,80.16502729136587,63.221737977926274
2020-01-16,71.61449602719323,80.16454072909228,63.03126003898354
2020-01-17,71.64478632269152,80.8438679264908,62.53503662720998
2020-01-21,72.15184274889333,80.70441230335635,63.25171182950591
2020-01-22,72.14998287862228,80.65603847644843,63.38076884922591
2020-01-23,72.1236393069301,80.82061637975725,63.92280913982312
2020-01-24,72.37967339162196,81.41144365911443,64.02137974264026
2020-01-27,73.46350239068424,82.25837689666687,64.5706206613231
2020-01-28,73.6390067595937,82.17100255292276,64.51164030477253
2020-01-29,73.77298377236313,82.89633547012026,65.22913436939288
2020-01-30,73.85651394842672,82.94355467475694,64.9557794838546
2020-01-31,74.19439783623321,83.40705979646151,65.12522292911683
2020-02-03,75.3400027273006,83.95470676938695,66.70648736713055
2020-02-04,75.4714637554922,85.10333970220384,66.07769742291556
2020-02-05,75.52837630672343,84.17878675975258,66.26106011417649
2020-02-06,75.5020196037362,84.58560871809387,66.5279779197457
2020-02-07,75.69781785227534,84.42264038447922,66.60924827689286
2020-02-10,76.23657267844457,85.20517148443429,67.24709554334703
2020-02-11,76.1118188741756,85.08297023177376,67.46179953849872
2020-02-12,75.88966376915778,84.3425639382932,66.671125531511
2020-02-13,75.56439428525734,84.34282529223906,66.27337071622397
2020-02-14,75.44475988385932,84.86561013530707,65.91248555680059
2020-02-18,74.50721499169678,83.84776432214446,66.15637077809778
2020-02-19,73.94512857907321,82.92619371179454,65.94200691201212
2020-02-20,73.28760355123588,82.08051762562633,64.01867638332483
2020-02-21,72.84764136454882,81.65666194281587,64.26735663987418
2020-02-24,71.52952194375149,80.20042266506537,62.59327200773427
2020-02-25,70.82859033447421,79.50481514095456,62.592946606146945
