ds,Predicted_Close,Upper_Bound,Lower_Bound
2020-01-03,153.40114710550145,166.91050053106508,140.42490066975964
2020-01-06,152.1334367425584,166.006954965206,138.01484514634177
2020-01-07,151.6501804122189,165.4686312292375,138.04835786242998
2020-01-08,151.79046107139393,165.43784791796034,138.2802849401166
2020-01-09,151.3026255941037,164.5305154255324,137.52489675443454
2020-01-10,151.27905793014455,164.1973658798,137.58109291756782
2020-01-13,151.30331148282397,165.88261723317436,137.25783872689487
2020-01-14,151.3191730443027,165.56673747356766,137.63068915582454
2020-01-15,151.9822722942315,164.741790279376,137.1095337570011
2020-01-16,152.033632188822,165.50346599156393,137.44965444629872
2020-01-17,152.55780013034757,166.50444028256763,138.63846123898963
2020-01-21,154.70718693984597,167.99682234029754,140.29385859858198
2020-01-22,155.83490283845853,169.65348204192622,142.48706978193488
2020-01-23,156.3095395554896,169.80580889858922,141.46079497600337
2020-01-24,157.20826916669193,171.52851235701698,143.16974773191234
2020-01-27,159.61208289270817,173.03917871468232,146.44374299845714
2020-01-28,160.24707379221647,173.97657539877335,146.35094262413475
2020-01-29,161.4225917640765,174.5461220730915,147.8386863073192
2020-01-30,161.87000749069975,175.81179233978168,148.50612980954804
2020-01-31,162.66593116867554,176.28815146486625,149.19732517825463
2020-02-03,164.32031884171113,179.12649080402008,150.08670009940965
2020-02-04,164.56856559435812,177.53804853784803,151.53565699655863
2020-02-05,165.2966823234109,178.8616367394319,151.55394149783373
2020-02-06,165.24223032193913,179.31770411213114,151.82015939955062
2020-02-07,165.48887033221655,179.70346504858526,152.33453287392737
2020-02-10,165.29163763864972,179.5235009931218,151.3642100284998
2020-02-11,164.8840734840901,178.9535355953164,151.38713981192848
2020-02-12,164.95240935332694,178.10963600306854,150.95499885237138
2020-02-13,164.2434805838691,177.41152418257136,149.97758866348747
2020-02-14,163.850054031244,177.89459988444426,150.43177709971164
2020-02-18,160.9972372511306,173.4956908205919,147.17204385786223
2020-02-19,160.61836964832426,174.22333847167448,147.5525378688907
2020-02-20,159.52013173021618,173.31512227983123,145.64252103549038
2020-02-21,158.7996834642989,172.83235883494905,144.7871330708837
