Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,153.32325744628906,153.42826088554256,151.1372952944172,151.5668495220527,22622100
2020-01-03,151.41415405273438,152.68373612521492,150.87959624655474,151.12779420342943,21116200
2020-01-06,151.8054962158203,151.8723232086729,149.3999720884019,149.94408480527218,20813700
2020-01-07,150.4213409423828,152.4163913806182,150.17315765832723,152.082300178882,21634100
2020-01-08,152.8173065185547,153.4950585087182,150.77452464486916,151.71000038294167,27746500
2020-01-09,154.72645568847656,154.8505546161972,153.71461245949803,154.48781286784572,21385000
2020-01-10,154.01052856445312,155.80512725217918,153.85779366217815,155.4233045620937,20725900
2020-01-13,155.86239624023438,155.89103221316708,153.93415819102395,154.41144382737096,21626500
2020-01-14,154.76466369628906,156.1678848009803,154.37328593172,155.96741840076578,23477400
2020-01-15,155.76693725585938,156.49242076357814,155.18466274765657,155.2323796600258,21417900
2020-01-16,158.62112426757812,158.68795125558384,156.57834209956698,156.88381193227306,23865400
2020-01-17,159.50889587402344,159.86208265119686,157.91474872726818,159.8143511653507,34371700
2020-01-21,158.9361572265625,160.54938541719685,158.8693302290307,159.10797310774927,29517200
2020-01-22,158.17250061035156,159.88119181662015,158.15340510126097,159.7952693085153,24138800
2020-01-23,159.14614868164062,159.22251614329255,157.76202303250872,158.64022699310001,19680800
2020-01-24,157.54246520996094,159.91935335669822,156.97927155195472,159.90025784938828,24918100
2020-01-27,154.90786743164062,155.95790194568534,152.92235689228698,153.82919693681342,32078100
2020-01-28,157.9434051513672,158.22976494589605,155.66197987278883,156.3397174739805,24899900
2020-01-29,160.40618896484375,161.08394114088054,158.16295467202275,160.21527757735336,34754500
2020-01-30,164.93081665039062,166.14312619597655,163.03121465105528,166.14312619597655,51597500
2020-01-31,162.4967041015625,164.56812253080582,161.87623844618003,164.38676617897787,36142700
2020-02-03,166.4582061767578,166.57275011182895,162.6590005866835,162.68763657045128,30107000
2020-02-04,171.9373779296875,172.4337590841562,168.30046360645028,169.09275953348234,36433300
2020-02-05,171.72738647460938,175.83204634656084,170.3050844317914,175.66977095885156,39186300
2020-02-06,175.2879638671875,175.46933477716024,171.8801367244904,172.74880025877843,27751400
2020-02-07,175.53611755371094,177.19707687616415,174.19016851132312,174.5433698005128,33529100
2020-02-10,180.1276397705078,180.2612791983537,174.9252279903285,175.24023833430923,35844300
2020-02-11,176.06112670898438,182.03673759315643,175.1638273880534,181.9890061167151,53159900
2020-02-12,176.3188934326172,177.40710426901245,173.58881858824256,177.1493659071914,47062900
2020-02-13,175.3643035888672,177.76981282779755,174.562452610288,174.7629189963334,35295800
2020-02-14,176.92984008789062,176.98711204957445,174.35248528727305,174.92523403532266,23149500
2020-02-18,178.72439575195312,179.17304546668734,177.0729913396611,177.17799477429256,27792200
2020-02-19,179.26043701171875,180.12189205359857,178.48512455294917,180.00703527611827,29997500
2020-02-20,176.5229034423828,179.23172105937135,173.3450775850241,178.94456451309836,36862400
2020-02-21,170.94252014160156,175.64227050341614,169.65990434185565,175.3263998174394,48572600
2020-02-24,163.572265625,167.07554313301836,156.2402733599048,160.58587278820414,68311100
2020-02-25,160.87306213378906,167.3531526661857,160.47103414954202,166.7405587643012,68073300
2020-02-26,162.88308715820312,165.8407656458263,161.00702520579085,162.4427931635171,56206100
2020-02-27,151.40647888183594,159.8775139321569,151.21504611459255,156.3263900928328,93174900
2020-02-28,155.072509765625,156.6997251752608,145.49115661738037,145.88360337407545,97012700
2020-03-02,165.3909454345703,165.5153833726161,155.35971406194287,158.23125093087526,71030800
2020-03-03,157.46546936035156,167.50627960732479,155.31181719397168,166.35766803966655,71677000
2020-03-04,163.246826171875,163.39039713117188,158.5279277026881,161.2750404354644,49814400
2020-03-05,159.15011596679688,163.5531294844052,158.59495053526152,158.93953547189074,47817300
2020-03-06,154.6513671875,156.12541593642464,149.31987490003448,155.64682659379633,72821100
2020-03-09,144.17027282714844,150.99496265942608,143.57682661752085,144.53400546163766,70419300
2020-03-10,154.02919006347656,154.13448030155593,146.04632344854542,151.38738218810445,65354400
2020-03-11,147.05136108398438,150.94707060556502,144.67754750947486,150.40148636834232,56371600
2020-03-12,133.10525512695312,146.8982023979123,132.64581348380904,139.07805490937238,93226400
2020-03-13,152.02867126464844,154.97678295935205,134.70373362014425,141.18383651086268,92727400
2020-03-16,129.6211700439453,142.95468024638834,129.2191566425931,134.00505133305953,87905900
2020-03-17,140.2936553955078,141.18382436225824,129.21909348410074,134.00498583536375,81059800
2020-03-18,134.38787841796875,139.7480847719235,129.23826714365302,132.09065546935233,81593200
2020-03-19,136.59896850585938,143.7203652337005,133.0478293675916,136.6563968867101,85922700
2020-03-20,131.468505859375,140.80099857992752,130.0423042779866,139.7480961231457,84866200
2020-03-23,130.15713500976562,134.55059564997975,126.84530540908241,131.14302774685214,78975200
2020-03-24,141.9879150390625,143.19396980491564,135.22066778616053,137.59446737731713,82516700
2020-03-25,140.6287078857422,147.72140631630424,138.25490854547172,142.53349896031997,75638200
2020-03-26,149.42515563964844,149.95160680414702,142.01658782883592,142.04530201913704,64568100
2020-03-27,143.28964233398438,148.2574019111521,142.81105300447516,145.25186150604966,57042300
2020-03-30,153.3687744140625,153.7229405464795,143.5864046735379,145.91235704624614,63420300
2020-03-31,150.9566650390625,157.72391111486942,149.85590072827637,152.57428483607072,77927200
2020-04-01,145.596435546875,150.99492219682824,144.36168159521696,146.44832390564008,57969900
2020-04-02,148.611572265625,148.82215276585558,143.9214020813381,145.35717025269807,49630700
2020-04-03,147.24278259277344,150.640769470052,145.6730103070818,148.45840347788032,41243300
2020-04-06,158.19293212890625,159.37025787232824,150.83222538941226,153.45490035648226,67111700
2020-04-07,156.4891815185547,162.72041081597885,156.2690198586282,162.32796396695244,62769000
2020-04-08,158.05894470214844,159.53299367239637,156.4987385371966,158.5758148434227,48318200
2020-04-09,158.06849670410156,160.20300120701708,156.33600551975834,159.23625593654953,51385100
2020-04-13,158.42262268066406,158.48006566440998,155.3500875953282,157.31230661980788,41905300
2020-04-14,166.261962890625,166.3098247540783,160.80604638092177,161.76322522842725,52874300
2020-04-15,164.51988220214844,166.13751656730375,161.99293097885268,163.8689930811695,40940800
2020-04-16,169.45895385742188,169.68868206197442,165.49623361258813,166.83629289772387,50479600
2020-04-17,170.95211791992188,172.29216222843243,168.33900961024494,171.813572888909,52765600
2020-04-20,167.563720703125,171.09571286072054,167.49672578100314,169.06649845044674,36669600
2020-04-21,160.6337127685547,166.2331985750058,158.99693100643162,166.07047997263564,56203700
2020-04-22,166.08970642089844,166.5491482576164,163.50532600694498,164.05091044953645,34620200
2020-04-23,164.07958984375,167.56372012764132,163.5914339086313,166.6544031792957,32790800
2020-04-24,167.07557678222656,167.08514331310639,163.40001338046326,164.6921961079911,34277600
2020-04-27,166.59695434570312,169.3249048560136,165.87907032634968,169.02818179820954,33194400
2020-04-28,162.53855895996094,168.14762832221905,162.13654554421586,168.07105225178304,34392700
2020-04-29,169.8321990966797,170.07149375669667,164.51986932861183,165.8024852010101,51286600
