ds,Predicted_Close,Upper_Bound,Lower_Bound
2022-01-04,168.04041158140592,174.90530500624843,161.44424241303045
2022-01-05,167.73762304474877,174.99733209696456,160.99273411542816
2022-01-06,167.43514758966626,174.6779976396688,160.46567665450672
2022-01-07,167.6211100831304,174.8162882935801,160.4213437063696
2022-01-10,167.4081711619915,174.56640909661613,160.31832266186643
2022-01-11,167.47572447847023,174.786985476681,160.60907408041066
2022-01-12,167.4612647828803,174.54678317609566,160.35683121098876
2022-01-13,167.41561702212724,174.5715346712457,160.41822940338932
2022-01-14,167.8274303606584,174.52380484130785,160.6457515308496
2022-01-18,168.3079451473938,174.73916036452582,161.36449875202317
2022-01-19,168.392498922744,174.74333964988605,160.760503623647
2022-01-20,168.42846319619858,175.79897418711118,161.697605842345
2022-01-21,168.90731169614727,176.22569611649686,162.10290563856876
2022-01-24,169.3393435252593,176.1941979917779,162.4214800550726
2022-01-25,169.55773991174118,176.5781937562514,162.6081448541693
2022-01-26,169.66846452841727,176.4989426034134,162.41305752446937
2022-01-27,169.72552120148063,176.8869803335368,162.9449551811509
2022-01-28,170.22007217515156,176.5171446799199,163.24765088591363
2022-01-31,170.6551122905544,178.04982279524768,163.71181577880563
2022-02-01,170.85337637819887,177.70727776918224,164.3657895763141
2022-02-02,170.92921302871105,178.25729595687596,163.78805255804292
2022-02-03,170.93375664403516,177.830919039392,163.30922734300188
2022-02-04,171.3552403337575,178.07750436101577,164.44106836248187
2022-02-07,171.42052425830894,178.31268284395335,163.98434319899528
2022-02-08,171.43795761058192,178.49168134407606,164.30412370505067
2022-02-09,171.30179148248305,178.37782361490966,164.1253193834737
2022-02-10,171.0627713342284,177.93297532906556,164.57868777542436
2022-02-11,171.2095715230624,177.50113201344257,164.17959558672928
2022-02-14,170.28219995365987,177.45125902611713,162.82184004754058
2022-02-15,169.92331390682887,176.81759339839988,162.95287059451888
2022-02-16,169.39580472269628,176.60058003237523,162.52209428601128
2022-02-17,168.75630296231256,175.34669968563077,161.64713429847592
2022-02-18,168.50008177946737,175.81117719785323,161.69525388184596
2022-02-22,165.725363129265,172.70046306713513,158.39104266313765
2022-02-23,164.89575845850695,172.2737189890269,157.88954081732456
2022-02-24,163.99748159954973,171.18470135223234,156.93735263855024
2022-02-25,163.5327305572237,170.77830782493203,156.47466991111443
