ds,Predicted_Close,Upper_Bound,Lower_Bound
2022-01-04,168.04041158140592,175.53996233589027,160.86085087509497
2022-01-05,167.73762304474877,175.02384417558284,159.9549997842365
2022-01-06,167.43514758966626,174.35064966870544,159.84547642191566
2022-01-07,167.6211100831304,174.79257546759382,160.23072798514136
2022-01-10,167.4081711619915,174.44775754920946,160.11753588220512
2022-01-11,167.47572447847023,174.3661329269319,160.2387545401093
2022-01-12,167.4612647828803,174.78307219195807,160.6525526069097
2022-01-13,167.41561702212724,174.09188959820844,160.18830845633127
2022-01-14,167.8274303606584,174.74354138781806,160.96419911347272
2022-01-18,168.3079451473938,175.5916405800032,161.56267569171442
2022-01-19,168.392498922744,175.54281069482266,161.23126692588295
2022-01-20,168.42846319619858,175.66221802526218,161.9374915094849
2022-01-21,168.90731169614727,175.67133321969945,162.230866028047
2022-01-24,169.3393435252593,176.27299656791268,162.6422645476679
2022-01-25,169.55773991174118,176.48711986102205,162.0360760027244
2022-01-26,169.66846452841727,176.20497748094468,162.49807021370924
2022-01-27,169.72552120148063,176.61072321963647,162.6593618055429
2022-01-28,170.22007217515156,177.24667926107065,163.35316515540612
2022-01-31,170.6551122905544,177.17894525874627,163.78754634490144
2022-02-01,170.85337637819887,178.80319740451537,163.92233173482123
2022-02-02,170.92921302871105,177.9769405712095,163.9587855614986
2022-02-03,170.93375664403516,177.7933733068222,163.8320168366843
2022-02-04,171.3552403337575,178.12835481837044,164.43154813158867
2022-02-07,171.42052425830894,178.45755237813307,164.61906789565091
2022-02-08,171.43795761058192,178.51386203858408,164.4492616193794
2022-02-09,171.30179148248305,178.58247619118853,164.28548083780194
2022-02-10,171.0627713342284,177.51216939186486,163.67381653273034
2022-02-11,171.2095715230624,177.86184239323575,164.08142216575308
2022-02-14,170.28219995365987,177.64535463601666,163.67728683495992
2022-02-15,169.92331390682887,177.0975002517709,163.2332841961869
2022-02-16,169.39580472269628,176.73956392323586,162.55550810580567
2022-02-17,168.75630296231256,175.79081720757435,161.7603932211566
2022-02-18,168.50008177946737,175.30778228570944,161.4603992516358
2022-02-22,165.725363129265,172.74311767804363,158.74268680769705
2022-02-23,164.89575845850695,171.95217557166805,157.4836671179969
2022-02-24,163.99748159954973,170.8449703287105,156.82662010199255
2022-02-25,163.5327305572237,171.04318141168164,156.2893721402643
2022-02-28,161.18783115659147,168.27261320402658,154.1085156385286
2022-03-01,160.53528806743097,168.25888758655353,153.68244634813786
2022-03-02,159.82038419366276,167.3903518603071,152.49180750954886
2022-03-03,159.1073660052042,165.91257348434848,152.23586286321787
2022-03-04,158.89709119167634,165.9106357405348,151.24643701076192
2022-03-07,157.6950726013979,164.79690833317042,150.2262338247021
2022-03-08,157.53086363948597,164.5821200749786,150.45180667743733
2022-03-09,157.34518048846093,164.3207969429549,150.06158685473528
2022-03-10,157.1929397324834,164.13262640692707,149.85329285373066
2022-03-11,157.5648250814506,164.45504615859207,150.42133689842635
2022-03-14,158.12785829809204,165.64688807577005,150.97296524211362
2022-03-15,158.52065036330998,165.8919929958401,151.44117714406636
2022-03-16,158.85794194145245,165.697196975013,151.5548534240671
2022-03-17,159.18441484424446,166.25940002463295,152.44307945210886
2022-03-18,159.98137555392734,167.26342946343163,153.05254371763735
2022-03-21,161.4213272951893,167.98995304518465,154.34215962738665
2022-03-22,161.95516016401592,169.05240339944322,155.32487155934598
2022-03-23,162.3525556633686,169.17574304146825,155.72603235180512
2022-03-24,162.65755627527923,169.74483859864665,155.73040887169563
2022-03-25,163.35256062254797,170.49820205043994,156.4484006545636
2022-03-28,164.03974272472252,170.94557383464033,156.48542942032248
2022-03-29,164.19337697553763,170.69943503487502,157.47982723333755
2022-03-30,164.15911956828026,171.43602105599282,156.19980453245597
2022-03-31,163.99053134340778,171.1124818065026,156.83382114847265
2022-04-01,164.18029014189344,171.08436212485017,156.6258464722035
2022-04-04,163.27073749615914,170.73050701993867,156.25645755801008
2022-04-05,162.901672990466,169.6560294206136,155.87231187732007
2022-04-06,162.36697706663068,169.53729718871676,155.71583320631987
2022-04-07,161.72971913493933,168.30500495387682,154.54735721143663
2022-04-08,161.4911220845931,168.83016660579963,154.28704073458022
2022-04-11,159.6057003210936,166.43374769232008,152.7160044183859
2022-04-12,159.0298902895987,165.99145344568086,152.05971224565616
2022-04-13,158.35169593673177,165.66924126806035,151.77952558712738
2022-04-14,157.63425337727995,164.554384359756,150.5720732755318
2022-04-18,155.7729292913664,162.2211296146331,148.52041523716537
2022-04-19,155.29456027629038,161.79716845388043,147.99273362941295
2022-04-20,154.74962724278146,161.60358914206407,147.8517127834206
2022-04-21,154.1934673629648,161.49907880476056,147.11247851679417
2022-04-22,154.1176844533626,161.8422960802187,147.03984770581553
